"YEAR","geography","arrest_dirc","arrest_simp","arrest_wt","jail_dirc","jail_simp","jail_wt"
1997,"suburb",3771.89578813384,4401.52640068539,3771.89578813384,2867.25552070662,3788.252655535,2867.25552070662
1997,"urban",5132.60961629079,5894.0547638273,5132.60961629079,3849.225705475,4885.41748796205,3849.225705475
1998,"rural",4579.58129672485,4067.99840258699,4579.58129672485,4427.72219586879,4448.13288305262,4427.72219586879
1998,"small/mid",5067.17064349226,4619.77998433315,5067.17064349226,4399.7644764665,4992.13249643339,4399.7644764665
1998,"suburb",3645.70769695984,4237.17316982473,3645.70769695984,2880.87459657454,3801.92575932549,2880.87459657454
1998,"urban",4887.94899811874,5700.6834944381,4887.94899811874,3806.46764221898,4868.58464381986,3806.46764221898
1999,"rural",4383.47642032278,3881.47242643381,4383.47642032278,4533.36268163089,4608.71826638768,4533.36268163089
1999,"small/mid",4800.64279724798,4409.26230494208,4800.64279724797,4498.19800310297,4723.11878342917,4498.19800310297
1999,"suburb",3471.48029141805,3934.25412008937,3471.48029141805,2914.4556026579,3979.52322934115,2914.4556026579
1999,"urban",4513.34022588458,5400.72494980271,4513.34022588458,3890.51404163735,4854.23991708462,3890.51404163735
2000,"rural",4525.47401194347,4025.68942457253,4525.47401194347,4501.16530293889,4591.84661213446,4501.16530293889
2000,"small/mid",4820.68643853699,4474.59005632088,4820.68643853699,4444.25356202729,4724.16896674634,4444.25356202729
2000,"suburb",3456.15191904149,3902.70752523338,3456.15191904149,2853.45141835831,4037.32921859899,2853.45141835831
2000,"urban",4399.95831369136,5119.28950538971,4399.95831369136,3851.57000593374,5031.05108305635,3851.57000593374
2001,"rural",4242.05346175658,3832.8782913965,4242.05346175658,4630.40521610852,4760.6846379693,4630.40521610852
2001,"small/mid",4601.58063169783,4179.17264663362,4601.58063169783,4524.5758358011,4867.28611047704,4524.5758358011
2001,"suburb",3311.85791224183,3663.67992600308,3311.85791224183,2852.54624855983,4184.31481987036,2852.54624855983
2001,"urban",4119.66796997375,4834.69487781165,4119.66796997375,3507.36416197274,4424.05765655846,3507.36416197274
2002,"rural",4638.93635949465,4194.99831623907,4638.93635949465,4789.11045118684,4924.63649793128,4789.11045118684
2002,"small/mid",4732.62368372046,4422.17825726139,4732.62368372046,4813.57822706801,4997.74557810856,4813.57822706801
2002,"suburb",3312.0980545312,3821.9955266501,3312.0980545312,2888.59076362153,4311.9109555928,2888.59076362153
2002,"urban",3976.62379555575,4823.07093077209,3976.62379555575,3530.43900576208,4755.55610828455,3530.43900576208
2003,"rural",4559.01715653677,4067.81510301344,4559.01715653677,4873.53938189919,5064.76523784983,4873.53938189919
2003,"small/mid",4643.37899432661,4335.58978676206,4643.37899432661,4640.53051454942,4895.6696481103,4640.53051454942
2003,"suburb",3364.71352187663,3875.51647926311,3364.71352187663,3013.73529495424,4448.86350379148,3013.73529495424
2003,"urban",3956.37354298707,4677.71898708221,3956.37354298707,3436.74079912009,4544.40517663227,3436.74079912009
2004,"rural",4541.21031693247,4049.705442233,4541.21031693247,5185.21079654966,5456.43672090692,5185.21079654966
2004,"small/mid",4744.3107351651,4482.7043737025,4744.3107351651,5076.18760511553,5249.47187024679,5076.18760511553
2004,"suburb",3406.55799010405,3968.03782223461,3406.55799010405,3556.86774196183,4950.67500145424,3556.86774196183
2004,"urban",4011.57444338196,4696.1884605572,4011.57444338196,4004.64551407064,5231.57345325758,4004.64551407064
2005,"rural",4663.86672514061,4111.40228717155,4663.86672514061,5196.71891387856,5411.87280691462,5196.71891387856
2005,"small/mid",4733.69179109479,4464.97225959608,4733.69179109479,4929.00415098922,5207.29672751055,4929.00415098922
2005,"suburb",3448.23955395437,4019.14549698084,3448.23955395437,3083.84687697786,4628.13997380568,3083.84687697786
2005,"urban",4048.15119037605,4791.22632733868,4048.15119037605,3670.35813412054,5098.86747193667,3670.35813412054
2006,"rural",4605.38444289826,4037.60340440784,4605.38444289826,5177.31272023124,5598.00802702312,5177.31272023124
2006,"small/mid",4705.72766788022,4473.50667101278,4705.72766788022,4830.08669432965,5089.23618062624,4830.08669432965
2006,"suburb",3502.8107192361,4024.75818546744,3502.8107192361,3193.35593807905,4829.31829093647,3193.35593807905
2006,"urban",4054.44445641535,4894.62556680702,4054.44445641535,3521.98734538307,4886.61408707495,3521.98734538307
2007,"rural",4424.24972115533,3797.40924548897,4424.24972115533,5153.84047202529,5521.92732148389,5153.84047202529
2007,"small/mid",4690.12181779805,4397.73469896707,4690.12181779806,4830.22196862884,5165.07555582742,4830.22196862884
2007,"suburb",3418.00581864647,3898.84907690278,3418.00581864647,3160.59049431461,5063.1996479543,3160.59049431461
2007,"urban",3990.42576692896,4664.42249649806,3990.42576692896,3660.90204423739,5011.73694126679,3660.90204423739
2008,"rural",4184.93250146657,3625.13784943988,4184.93250146657,5212.00478266627,5498.44581110018,5212.00478266627
2008,"small/mid",4538.42027518314,4181.34198399416,4538.42027518314,4842.80365284518,5181.29662623635,4842.80365284518
2008,"suburb",3262.23962374666,3694.5265400039,3262.23962374666,3243.87202112152,5331.88849389611,3243.87202112152
2008,"urban",3956.77823397958,4635.49313838485,3956.77823397958,3661.543056403,5043.13075433612,3661.543056403
2009,"rural",4157.74802103582,3627.51471340052,4157.74802103582,5249.79607893025,5580.71455600366,5249.79607893025
2009,"small/mid",4438.78601597108,4104.36761924477,4438.78601597108,4606.49171566486,5035.22487120344,4606.49171566486
2009,"suburb",3187.48069823981,3620.17856186749,3187.48069823981,3149.21933478766,4850.06474536801,3149.21933478766
2009,"urban",3866.34534820615,4531.16245994696,3866.34534820615,3381.80277532193,4759.31118136164,3381.80277532193
2010,"rural",3926.88289908364,3426.04719214844,3926.88289908364,5209.81868650934,5559.71941238127,5209.81868650934
2010,"small/mid",4150.01794550248,3863.49045519269,4150.01794550248,4398.19472849789,4865.29765484272,4398.19472849789
2010,"suburb",3064.13846514029,3455.86565198668,3064.13846514029,3020.45664452154,4855.51571892405,3020.45664452154
2010,"urban",3665.0743987566,4404.3620614077,3665.0743987566,3200.21801321445,4304.69301516896,3200.21801321445
2011,"rural",3723.29405971972,3265.24305274224,3723.29405971972,5144.01368803365,5567.38016285865,5144.01368803365
2011,"small/mid",3837.95497582328,3611.41720522153,3837.95497582328,4274.07616472736,4731.63997164151,4274.07616472736
2011,"suburb",2865.92736516001,3269.45004570088,2865.92736516001,2943.47924893611,4841.07456784271,2943.47924893611
2011,"urban",3307.161787398,4129.78295593452,3307.161787398,3042.53392013275,4105.4176797753,3042.53392013275
2012,"rural",3651.63971178499,3203.67543559673,3651.63971178499,5220.07221277952,5781.15549140664,5220.07221277952
2012,"small/mid",3816.61942622433,3599.45405056088,3816.61942622433,4177.66183234122,4695.4568945722,4177.66183234122
2012,"suburb",2815.52446705841,3155.40222240563,2815.52446705841,2896.14193177865,4791.91130899825,2896.14193177865
2012,"urban",3260.48265159263,3920.64510696794,3260.48265159263,2943.56799950876,3916.18096168627,2943.56799950876
2013,"rural",3459.43494719508,3070.31433760154,3459.43494719508,5203.27128571474,5771.62958941974,5203.27128571474
2013,"small/mid",3583.0487772302,3385.46897318466,3583.04877723021,4193.70113448723,4716.62471801463,4193.70113448723
2013,"suburb",2646.29016263606,3012.45721046605,2646.29016263606,2652.32343946661,4604.17872682234,2652.32343946661
2013,"urban",2840.8010613861,3621.57723062398,2840.8010613861,2939.3150472406,3852.55803489652,2939.3150472406
2014,"rural",3358.35417500767,3004.65978619301,3358.35417500767,5167.2323576765,5711.49262944926,5167.2323576765
2014,"small/mid",3487.1019382798,3294.5493013274,3487.1019382798,4074.9665968315,4661.95720559376,4074.9665968315
2014,"suburb",2571.52251564489,2940.70949216217,2571.52251564489,2794.68504067002,4605.80918348485,2794.68504067002
2014,"urban",2648.3469057395,3351.67719748571,2648.3469057395,2718.39321871602,3521.66300237444,2718.39321871602
2015,"rural",NA,NA,NA,5292.76729070028,5929.48377642386,5292.76729070028
2015,"small/mid",NA,NA,NA,3759.85822556025,4505.46234295057,3759.85822556025
2015,"suburb",NA,NA,NA,2572.51155196295,4484.21697789673,2572.51155196295
2015,"urban",NA,NA,NA,2454.76464627179,3150.19852417461,2454.76464627179
2016,"rural",NA,NA,NA,NA,NA,NA
2016,"small/mid",NA,NA,NA,NA,NA,NA
2016,"suburb",NA,NA,NA,NA,NA,NA
2016,"urban",NA,NA,NA,NA,NA,NA
