"YEAR","geography","arrest_dirc","arrest_simp","arrest_wt","jail_dirc","jail_simp","jail_wt"
1988,"small/mid",4893.97850564571,4080.27144139821,4893.97850564571,4242.67670737887,4118.11789424479,4242.67670737887
1988,"suburb",3826.75904586208,3689.9684334486,3826.75904586208,2470.25328756072,3440.64651648618,2470.25328756072
1988,"urban",5532.18208775756,6293.00622812094,5532.18208775756,4055.17651594633,4486.8301787541,4055.17651594633
1989,"rural",3969.48366702638,3361.76377616724,3969.48366702638,3838.13316557868,3871.88310991453,3838.13316557868
1989,"small/mid",5225.31554921178,4356.96878038972,5225.31554921178,4314.71282424376,4219.4546177082,4314.71282424376
1989,"suburb",3984.76968810958,3867.973271135,3984.76968810958,2628.57289782167,3548.18298282604,2628.57289782167
1989,"urban",5966.5961792901,6768.200298329,5966.5961792901,3973.84730133354,4674.44189734584,3973.84730133354
1990,"rural",4143.25303225555,3526.62829191682,4143.25303225555,4039.47177664992,4038.80059855721,4039.47177664992
1990,"small/mid",5343.6145930983,4449.13370967432,5343.6145930983,4403.03040767668,4416.47464836942,4403.03040767668
1990,"suburb",4079.47176150398,3964.50584294304,4079.47176150398,2961.16445555129,3758.22532164209,2961.16445555129
1990,"urban",5926.35697361513,6562.40848283303,5926.35697361513,4144.24973463496,5187.26281601108,4144.24973463496
1991,"rural",4195.40766166471,3634.63490161579,4195.40766166471,4185.14728944909,4204.14110269221,4185.14728944909
1991,"small/mid",5214.9009278544,4500.22959551331,5214.9009278544,4430.23021417658,4487.02408813107,4430.23021417658
1991,"suburb",3927.94912295968,3915.69159003892,3927.94912295968,2804.05523464118,3673.86386105318,2804.05523464118
1991,"urban",5648.4327725525,6257.55008078162,5648.4327725525,4146.56636689216,5052.70643396348,4146.56636689216
1992,"rural",4143.47065585339,3617.29473450704,4143.47065585339,4197.39535565353,4174.80514580466,4197.39535565353
1992,"small/mid",5268.38227753185,4546.6261914798,5268.38227753185,4461.10365873101,4569.73477442663,4461.10365873101
1992,"suburb",3865.69511576934,3954.13239996473,3865.69511576934,2832.01399579828,3728.40721979592,2832.01399579828
1992,"urban",5599.91455892554,6341.07543030222,5599.91455892554,4094.45643692613,5006.53347857772,4094.45643692613
1993,"rural",NA,NA,NA,4251.12095663422,4219.28852977013,4251.12095663422
1993,"small/mid",NA,NA,NA,4478.07554032747,4632.72916906282,4478.07554032747
1993,"suburb",NA,NA,NA,2850.9268245599,3757.73975635935,2850.9268245599
1993,"urban",NA,NA,NA,4066.56773520264,4966.16783299675,4066.56773520264
1994,"rural",4832.60108438232,4383.8327197671,4832.60108438232,4293.90050233404,4307.01483626179,4293.90050233404
1994,"small/mid",5630.33551760619,4972.70604997093,5630.33551760619,4484.40584528967,4736.64859315942,4484.40584528967
1994,"suburb",4150.61317060621,4533.60191413551,4150.61317060621,2866.24414223214,3754.62644441648,2866.24414223214
1994,"urban",5606.46142372037,6426.95015742417,5606.46142372037,4015.3596020749,4947.19182116694,4015.3596020749
1995,"rural",4978.19058598588,4488.83201431543,4978.19058598588,4370.22098668785,4350.96422088906,4370.22098668785
1995,"small/mid",5651.86515840582,5087.5051427679,5651.86515840582,4521.49658537696,4790.52558782302,4521.49658537696
1995,"suburb",4005.57054327271,4451.01976135288,4005.5705432727,2891.90371701983,3779.5589827815,2891.90371701983
1995,"urban",5620.826882021,6509.70751154114,5620.826882021,3980.28145375647,4931.3234056461,3980.28145375647
1996,"rural",4919.97620323044,4483.93705157626,4919.97620323043,4355.95288349596,4350.80350271315,4355.95288349596
1996,"small/mid",5809.71286993924,5199.94120308333,5809.71286993924,4486.70034215513,4824.59339795602,4486.70034215513
1996,"suburb",4095.45242009056,4639.39617698902,4095.45242009056,2784.17540408191,3726.2875762872,2784.17540408191
1996,"urban",5517.57945763415,6436.41529536307,5517.57945763415,3819.48731351866,4803.25813933626,3819.48731351866
1997,"rural",4968.59728367052,4431.74644128205,4968.59728367052,4416.05280270752,4392.14864568016,4416.05280270752
1997,"small/mid",5837.18554600366,5202.09930448524,5837.18554600366,4514.22280382304,4889.23419319568,4514.22280382304
1997,"suburb",4079.50280018211,4620.13760890913,4079.50280018211,2806.18191618127,3733.85837003864,2806.18191618127
1997,"urban",5542.29750442167,6551.61168070173,5542.29750442167,3774.56277003042,4786.55664573803,3774.56277003042
1998,"rural",4938.24444093303,4406.77150064288,4938.24444093303,4510.33876233381,4474.83481061154,4510.33876233381
1998,"small/mid",5665.24818511238,5057.4264133388,5665.24818511238,4560.07990607928,5008.02947058079,4560.07990607928
1998,"suburb",3996.57188612384,4522.90366020456,3996.57188612384,2817.2190649641,3744.54165853382,2817.2190649641
1998,"urban",5338.91614857401,6444.55985274084,5338.91614857401,3684.88475397827,4730.2558614706,3684.88475397827
1999,"rural",4724.94704394072,4212.89621520095,4724.94704394072,4608.89265056317,4635.77630432111,4608.89265056317
1999,"small/mid",5368.36687025964,4827.6929757741,5368.36687025964,4648.65244907825,4675.59308558925,4648.65244907825
1999,"suburb",3807.03012978376,4201.01631861402,3807.03012978376,2845.53644655415,3941.49399858391,2845.53644655415
1999,"urban",4896.00481942839,5907.73721333389,4896.00481942839,3825.41897375277,4779.22194945182,3825.41897375277
2000,"rural",4617.21851871797,4084.44915572964,4617.21851871797,4577.79102341675,4573.89485482512,4577.79102341675
2000,"small/mid",5174.54232116836,4667.53605398449,5174.54232116836,4609.94546806325,4681.33700249204,4609.94546806325
2000,"suburb",3700.27385381348,4040.87689604984,3700.27385381348,2841.39565758791,4028.87803100881,2841.39565758791
2000,"urban",4756.96868500603,5604.46562948843,4756.96868500603,3834.82926408798,5042.39938516007,3834.82926408798
2001,"rural",4323.5078711528,3882.34740548517,4323.5078711528,4711.52774215292,4743.03987354928,4711.52774215292
2001,"small/mid",4950.5317051431,4362.33609330209,4950.5317051431,4681.53109325848,4815.96285188048,4681.53109325848
2001,"suburb",3545.8422287692,3786.84818313163,3545.8422287692,2833.18111548485,4149.72584271755,2833.18111548485
2001,"urban",4444.2789846438,5271.76346422747,4444.2789846438,3459.81686739061,4400.94346750434,3459.81686739061
